prompt,temp,seq_len,gen_time,timestamp,ED_mean,ED_std,model,model_size,domain,rank,chkpt_id
"code: Explain what this code does:
def function_92(x): return x * 2",1.3,128,1773695641.275565,2026-03-16T22:14:01.275568,0.424505352973938,0.21352709829807281,mamba2-2.7b,2700000000,code,0,0
fiction: Which celestial object listed below has the greatest density? (Answer: D),1.3,128,1773695647.146617,2026-03-16T22:14:07.146619,0.4448249936103821,0.1710437536239624,mamba2-2.7b,2700000000,fiction,1,0
"wiki: Generally prohibited in the West at large, school corporal punishment is not unusual in Alabama, with 27,260 public school students paddled at least one time, according to government data for the 2011–2012 school year.",1.3,128,1773695653.0348094,2026-03-16T22:14:13.034811,0.4689924716949463,0.17126813530921936,mamba2-2.7b,2700000000,wiki,2,0
"news: SEE: Virtual and augmented reality policy (Tech Pro Research) The XR1 features an ARM-based multi-core CPU, a vector processor, a GPU, and a dedicated AI engine for on-board processing.",1.3,128,1773695658.9078112,2026-03-16T22:14:18.907813,0.5918770432472229,0.18475398421287537,mamba2-2.7b,2700000000,news,3,0
"wiki: Jordan-Hare Stadium is the home field of the Auburn football team and seats up to 87,451.",1.3,128,1773695664.7606,2026-03-16T22:14:24.760602,0.3430159091949463,0.18138980865478516,mamba2-2.7b,2700000000,wiki,4,0
"wiki: The Goodyear Tire and Rubber Company operates a large plant in Gadsden which employs about 1,400 people.",1.3,124,1773695670.597119,2026-03-16T22:14:30.597121,0.4371788799762726,0.17848767340183258,mamba2-2.7b,2700000000,wiki,5,0
"wiki: In Latin America, Argentina was a stronghold for anarcho-syndicalism, where it became the most prominent left-wing ideology.",0.7,128,1773695676.4741924,2026-03-16T22:14:36.474194,0.8106984496116638,0.1523696780204773,mamba2-2.7b,2700000000,wiki,6,0
"wiki: Ritualistic behavior: Unvarying pattern of daily activities, such as an unchanging menu or a dressing ritual.",0.7,128,1773695682.3310847,2026-03-16T22:14:42.331087,0.8191819787025452,0.16252635419368744,mamba2-2.7b,2700000000,wiki,7,0
"wiki: Anarchists were treated similarly in the Second International, being ultimately expelled in 1896.",1.0,128,1773695688.1810255,2026-03-16T22:14:48.181027,0.6907715797424316,0.1672225296497345,mamba2-2.7b,2700000000,wiki,8,0
"news: 34 total views, 34 views today Share Us",1.0,37,1773695689.93113,2026-03-16T22:14:49.931132,0.6849931478500366,0.17747198045253754,mamba2-2.7b,2700000000,news,9,0
"wiki: The Alabama Fever land rush was underway when the state was admitted to the Union, with settlers and land speculators pouring into the state to take advantage of fertile land suitable for cotton cultivation.",0.7,128,1773695695.7868762,2026-03-16T22:14:55.786879,0.9074151515960693,0.15121673047542572,mamba2-2.7b,2700000000,wiki,10,0
fiction: How long does it take for Earth to rotate on its axis seven times? (Answer: B),1.0,128,1773695701.6379054,2026-03-16T22:15:01.637908,0.7283682227134705,0.1773090362548828,mamba2-2.7b,2700000000,fiction,11,0
fiction: A student accidentally drops a test tube that breaks when it hits the floor. Which method is the best way to retrieve the broken glass? (Answer: C),0.7,128,1773695707.5031621,2026-03-16T22:15:07.503164,0.7959531545639038,0.14499996602535248,mamba2-2.7b,2700000000,fiction,12,0
fiction: Which of these would most likely improve the air quality in large Texas cities? (Answer: A),1.0,128,1773695713.3653193,2026-03-16T22:15:13.365321,0.6991593837738037,0.1469699591398239,mamba2-2.7b,2700000000,fiction,13,0
"code: Explain what this code does:
def function_86(x): return x * 2",0.7,66,1773695716.365866,2026-03-16T22:15:16.365868,0.7865028381347656,0.12488210201263428,mamba2-2.7b,2700000000,code,14,0
wiki: How autism occurs is not well understood.,1.0,128,1773695722.2118902,2026-03-16T22:15:22.211892,0.7609978914260864,0.12544967234134674,mamba2-2.7b,2700000000,wiki,15,0
fiction: A company is designing a new laptop computer. The computer must not exceed a certain weight. Which of the following is the most likely reason to have a weight restriction for the computer? (Answer: C),0.7,128,1773695728.0602045,2026-03-16T22:15:28.060207,0.8262701630592346,0.13209033012390137,mamba2-2.7b,2700000000,fiction,16,0
fiction: Puddles on a sidewalk are evaporating quickly. What most likely causes the puddles to evaporate? (Answer: A),1.3,10,1773695728.5118365,2026-03-16T22:15:28.511838,0.6536197066307068,0.13255493342876434,mamba2-2.7b,2700000000,fiction,17,0
news: The company is one of dozens of others honoring Robbins this year; last week we covered Cincinnati Ballet and New York Theatre Ballet.,0.7,128,1773695734.3599346,2026-03-16T22:15:34.359936,0.7893975377082825,0.16258876025676727,mamba2-2.7b,2700000000,news,18,0
"wiki: Nonetheless, his ideas formed the inspiration for a series of modern schools around the world.",0.7,128,1773695740.2154803,2026-03-16T22:15:40.215483,0.7708382606506348,0.13843713700771332,mamba2-2.7b,2700000000,wiki,19,0
wiki: Parents often notice signs during the first three years of their child's life.,0.7,128,1773695746.237052,2026-03-16T22:15:46.237054,0.7888193130493164,0.14786624908447266,mamba2-2.7b,2700000000,wiki,20,1
news: Subscribe Also see,1.3,3,1773695746.3754978,2026-03-16T22:15:46.375499,0.5369802713394165,0.11887741833925247,mamba2-2.7b,2700000000,news,21,1
wiki: Automakers accounted for approximately a third of the industrial expansion in the state in 2012.,0.7,128,1773695752.2845876,2026-03-16T22:15:52.284590,0.7811815738677979,0.14256098866462708,mamba2-2.7b,2700000000,wiki,22,1
"wiki: About three-fifths of the land area is part of the Gulf Coastal Plain, a gentle plain with a general descent towards the Mississippi River and the Gulf of Mexico.",0.7,128,1773695758.1922898,2026-03-16T22:15:58.192291,0.8101797103881836,0.153002068400383,mamba2-2.7b,2700000000,wiki,23,1
"wiki: Jackson, Harvey H. Inside Alabama: A Personal History of My State (2004).",1.0,128,1773695764.108462,2026-03-16T22:16:04.108464,0.7309858798980713,0.14081412553787231,mamba2-2.7b,2700000000,wiki,24,1
"news: Additionally, compliance and security whitepapers will also help prepare would-be test takers.",0.7,128,1773695770.0263045,2026-03-16T22:16:10.026307,0.6970953941345215,0.1402210146188736,mamba2-2.7b,2700000000,news,25,1
"code: Explain what this code does:
def function_50(x): return x * 2",1.3,128,1773695775.947135,2026-03-16T22:16:15.947137,0.5505329966545105,0.15573842823505402,mamba2-2.7b,2700000000,code,26,1
"news: ""It's not just a few ballet steps here and there; he asks you to fully engage with yourself, not only as a dancer but as an actor and a person.""",1.0,19,1773695776.8212109,2026-03-16T22:16:16.821213,0.6426135897636414,0.1354447901248932,mamba2-2.7b,2700000000,news,27,1
"code: Explain what this code does:
def function_80(x): return x * 2",1.0,128,1773695782.7425706,2026-03-16T22:16:22.742573,0.8682927489280701,0.12003745138645172,mamba2-2.7b,2700000000,code,28,1
news: A Typical Day Students begin their days with an early 8 am technique class.,1.3,128,1773695788.646279,2026-03-16T22:16:28.646281,0.5085992813110352,0.17608647048473358,mamba2-2.7b,2700000000,news,29,1
"code: Explain what this code does:
def function_95(x): return x * 2",0.7,128,1773695794.550255,2026-03-16T22:16:34.550257,0.9239524006843567,0.12505090236663818,mamba2-2.7b,2700000000,code,30,1
"wiki: With the rise of organised hierarchical bodies, scepticism toward authority also rose.",0.7,128,1773695800.4432297,2026-03-16T22:16:40.443232,0.7250217199325562,0.16972891986370087,mamba2-2.7b,2700000000,wiki,31,1
news: I was unable to login with that user.,0.7,128,1773695806.3447015,2026-03-16T22:16:46.344703,0.7572290301322937,0.14196787774562836,mamba2-2.7b,2700000000,news,32,1
"wiki: Acquiring language before age six, having an IQ above 50, and having a marketable skill all predict better outcomes; independent living is unlikely with severe autism.",1.3,128,1773695812.2568383,2026-03-16T22:16:52.256841,0.5506688356399536,0.1966627538204193,mamba2-2.7b,2700000000,wiki,33,1
"wiki: Services should be carried out by behavior analysts, special education teachers, speech pathologists, and licensed psychologists.",1.0,99,1773695816.8288271,2026-03-16T22:16:56.828829,0.7396119832992554,0.15592841804027557,mamba2-2.7b,2700000000,wiki,34,1
"wiki: Contemporary-era anarchists have been engaging with various grassroots movements that are more or less based on horizontalism, although not explicitly anarchist, respecting personal autonomy and participating in mass activism such as strikes and demonstrations.",1.0,128,1773695822.7410493,2026-03-16T22:17:02.741052,0.7090780735015869,0.15214452147483826,mamba2-2.7b,2700000000,wiki,35,1
wiki: No single treatment is best and treatment is typically tailored to the child's needs.,1.0,128,1773695828.6720815,2026-03-16T22:17:08.672083,0.7804111242294312,0.13386519253253937,mamba2-2.7b,2700000000,wiki,36,1
"news: Stage Time Performance is the most important aspect of BDA students' professional development, with annual productions featuring classical ballets, contemporary works and student choreography.",0.7,128,1773695834.588077,2026-03-16T22:17:14.588079,0.7639061212539673,0.1588423252105713,mamba2-2.7b,2700000000,news,37,1
"wiki: Jackson, Harvey H. Inside Alabama: A Personal History of My State (2004).",1.3,128,1773695840.5042586,2026-03-16T22:17:20.504261,0.40314042568206787,0.17809639871120453,mamba2-2.7b,2700000000,wiki,38,1
"wiki: Muslims have been increasing in Alabama, with 31 mosques built by 2011, many by African-American converts.",1.0,110,1773695845.5882063,2026-03-16T22:17:25.588208,0.6370927691459656,0.1819401979446411,mamba2-2.7b,2700000000,wiki,39,1
wiki: Anarchism pays significant attention to moral arguments since ethics have a central role in anarchist philosophy.,1.0,128,1773695851.6124732,2026-03-16T22:17:31.612476,0.7698959112167358,0.14305822551250458,mamba2-2.7b,2700000000,wiki,40,2
fiction: Trees most likely change the environment in which they are located by (Answer: D),1.0,128,1773695857.5423539,2026-03-16T22:17:37.542356,0.732577919960022,0.15480032563209534,mamba2-2.7b,2700000000,fiction,41,2
"fiction: Some animals are very rare. For example, there are very few Siberian tigers. If the only Siberian tigers left are female, what will most likely happen? (Answer: D)",0.7,128,1773695863.4834592,2026-03-16T22:17:43.483461,0.8035857081413269,0.15059718489646912,mamba2-2.7b,2700000000,fiction,42,2
